Rank,Name,week,DB,MAN %,FP/DB,ZONE %,FP/DB,1-HI/MOF C %,FP/DB,2-HI/MOF O %,FP/DB,COVER 0 %,COVER 1 %,COVER 2 %,COVER 2 MAN %,COVER 3 %,COVER 4 %,COVER 6 %,Season
19,ARI,4,35,0.2,1.54,0.8,0.22,0.514,0.5,0.486,0.47,0.029,0.171,0.029,0,0.343,0.429,0,2022
20,CHI,4,35,0.514,0.23,0.486,0.41,0.943,0.3,0.057,0.6,0,0.514,0.029,0,0.429,0,0.029,2022
21,PIT,4,33,0.212,0.35,0.697,0.12,0.333,0.41,0.667,0.31,0.03,0.152,0,0.03,0.182,0.455,0.061,2022
22,SEA,4,32,0.438,0.98,0.531,0.5,0.563,0.64,0.438,0.87,0.125,0.313,0.063,0,0.25,0.031,0.188,2022
23,DEN,4,31,0.097,0.86,0.871,0.49,0.29,0.85,0.71,0.56,0,0.065,0.452,0.032,0.226,0.161,0.032,2022
24,NO,4,30,0.1,0.39,0.8,0.28,0.433,0.33,0.567,0.48,0,0.1,0.133,0,0.3,0.067,0.3,2022
25,DAL,4,29,0.241,0.44,0.69,0.5,0.379,0.81,0.621,0.48,0,0.241,0.034,0,0.138,0.207,0.31,2022
26,PHI,4,29,0.138,1.71,0.862,0.28,0.724,0.5,0.276,0.43,0,0.138,0.069,0,0.586,0.103,0.103,2022
27,SF,4,28,0.179,1.49,0.75,0.29,0.679,0.62,0.321,0.24,0,0.179,0.036,0,0.5,0.071,0.143,2022
28,JAX,4,27,0.296,0.81,0.704,0.24,0.593,0.34,0.407,0.51,0.074,0.222,0.074,0,0.37,0.148,0.111,2022
29,TEN,4,26,0.192,0.09,0.731,0.3,0.692,0.46,0.308,0.8,0,0.192,0.192,0,0.462,0.077,0,2022
30,NE,4,25,0.52,0.25,0.48,0.43,0.76,0.47,0.24,-0.07,0,0.52,0.04,0,0.24,0.08,0.12,2022
31,NYG,4,22,0.545,1.38,0.455,0.3,0.864,0.97,0.136,0.36,0,0.5,0.091,0.045,0.364,0,0,2022
32,ATL,4,20,0.35,0.05,0.6,0.35,0.85,0.22,0.15,0.27,0.05,0.25,0,0.05,0.55,0.05,0,2022
1,BUF,3,71,0.38,0.53,0.549,0.33,0.408,0.29,0.549,0.48,0.183,0.197,0.31,0,0.211,0,0.028,2022
2,ARI,3,62,0.177,0.2,0.823,0.22,0.565,0.22,0.435,0.21,0,0.177,0.032,0,0.387,0.274,0.129,2022
3,NYJ,3,56,0.286,0.16,0.696,0.15,0.589,0.17,0.411,0.08,0.054,0.214,0.161,0.018,0.375,0.054,0.107,2022
4,WAS,3,55,0.218,0.06,0.764,0.18,0.509,0.13,0.491,0.22,0.018,0.2,0.127,0,0.309,0.236,0.091,2022
5,NYG,3,49,0.184,0.23,0.816,0.27,0.816,0.25,0.184,0.32,0,0.184,0.143,0,0.633,0.041,0,2022
6,LV,3,48,0.083,0.66,0.583,0.35,0.083,0.4,0.917,0.44,0,0.063,0.292,0.021,0.021,0.104,0.167,2022
7,LAC,3,47,0.191,0.52,0.745,0.28,0.468,0.2,0.532,0.41,0,0.17,0.234,0.021,0.255,0.106,0.149,2022
8,SEA,3,46,0.239,0.68,0.761,0.36,0.413,0.49,0.587,0.4,0.022,0.196,0.326,0.022,0.217,0.065,0.152,2022
9,TB,3,45,0.289,0.59,0.711,0.23,0.311,0.27,0.689,0.35,0.044,0.222,0.022,0.022,0.089,0.356,0.244,2022
10,DET,3,43,0.186,0.25,0.744,0.26,0.419,0.31,0.558,0.39,0,0.163,0.023,0.023,0.279,0.07,0.372,2022
11,IND,3,43,0.302,0.48,0.674,0.2,0.512,0.47,0.488,0.28,0.07,0.209,0.093,0.023,0.302,0.209,0.07,2022
12,NO,3,42,0.071,0.07,0.833,0.36,0.476,0.27,0.524,0.49,0,0.071,0.095,0,0.405,0.238,0.095,2022
13,MIN,3,42,0.69,0.49,0.238,0.34,0.476,0.3,0.5,0.59,0.095,0.405,0.143,0.19,0.048,0,0.048,2022
14,PHI,3,41,0.439,0.52,0.439,0.73,0.463,0.38,0.537,0.9,0.098,0.341,0.024,0,0.122,0.244,0.049,2022
15,KC,3,41,0.268,0.36,0.61,0.31,0.61,0.34,0.366,0.51,0,0.268,0.024,0,0.341,0.244,0,2022
16,NE,3,40,0.375,0.48,0.5,0.25,0.65,0.41,0.35,0.59,0.05,0.3,0.025,0.025,0.325,0.1,0.05,2022
17,JAX,3,40,0.575,0.46,0.3,0.26,0.725,0.39,0.275,1.07,0.075,0.5,0.05,0,0.175,0.05,0.025,2022
18,DEN,3,40,0.075,0.67,0.925,0.2,0.275,0.35,0.725,0.19,0,0.075,0.35,0,0.2,0.225,0.15,2022
19,CIN,3,39,0.231,1.25,0.641,0.26,0.359,0.76,0.641,0.51,0.051,0.179,0.026,0,0.179,0.308,0.128,2022
20,GB,3,36,0.25,0.68,0.75,0.41,0.5,0.72,0.5,0.24,0,0.139,0.167,0.111,0.361,0.083,0.139,2022
